"totalTime","numInputGranules","totalGranuleSize","harmonyGdalAdapter","harmonyServiceExample","harmonyNetcdfToZarr","swotReproject","varSubsetter","sdsMaskfill","trajectorySubsetter","podaacConcise","podaacL2Subsetter","giovanniAdapter"
7.886,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
11.414,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
11.011,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
6.82,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
12.658,1,2.24,0,0,0,0,1,0,0,0,0,0
10.822,1,2.24,0,0,0,0,1,0,0,0,0,0
10.274,1,2.24,0,0,0,0,1,0,0,0,0,0
13.729,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
29.32,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
10.604,1,2.24,0,0,0,0,1,0,0,0,0,0
33.219,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
10.932,1,2.24,0,0,0,0,1,0,0,0,0,0
4.74,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
14.073,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
4.672,1,2.24,0,0,0,0,1,0,0,0,0,0
17.439,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
9.605,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
7.839,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
11.252,1,2.24,0,0,0,0,1,0,0,0,0,0
33.458,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
29.036,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
17.759,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
6.595,1,2.24,0,0,0,0,1,0,0,0,0,0
30.871,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
7.599,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
7.217,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
8.021,1,2.24,0,0,0,0,1,0,0,0,0,0
81.385,50,25.485445022583,0,1,0,0,0,0,0,0,0,0
37.117,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
10.894,1,2.24,0,0,0,0,1,0,0,0,0,0
